Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
28,Summit League,9,141,142,0.498,-4.29,-2.68,0,0,0,"North Dakota State, South Dakota State",North Dakota State,2020
29,Mid-Eastern Athletic Conference,11,131,208,0.386,-14.34,-8.36,0,0,0,North Carolina Central,,2020
30,Atlantic Sun Conference,9,130,155,0.456,-7.85,-4.83,0,0,0,"Liberty, North Florida",Liberty,2020
31,Horizon League,10,153,171,0.472,-6.04,-3.7,0,0,0,Wright State,Northern Kentucky,2020
32,Southwest Athletic Conference,10,122,190,0.391,-14.97,-8.14,0,0,0,Prairie View A&M,,2020
1,Big 12 Conference,10,165,116,0.587,11.74,8.94,6,7,1,Baylor,Texas,2021
2,Big Ten Conference,14,227,172,0.569,14.91,11.89,5,9,0,Michigan,Illinois,2021
3,Southeastern Conference,14,212,163,0.565,11.18,8.48,2,6,0,Alabama,Alabama,2021
4,West Coast Conference,10,134,96,0.583,5.24,5.06,2,2,1,Gonzaga,Gonzaga,2021
5,Pac-12 Conference,12,193,150,0.563,11.89,9.86,2,5,1,Oregon,Oregon State,2021
6,Atlantic 10 Conference,14,151,142,0.515,3.54,3.1,0,2,0,St. Bonaventure,St. Bonaventure,2021
7,Southland Conference,13,150,180,0.455,-10.87,-7.02,0,1,0,Nicholls State,Abilene Christian,2021
8,American Athletic Conference,11,141,107,0.569,6.77,5.54,1,2,1,Wichita State,Houston,2021
9,Conference USA,14,201,162,0.554,-0.76,-1.35,0,1,0,"Western Kentucky (East), Louisiana Tech (West)",North Texas,2021
10,Big East Conference,11,152,125,0.549,10.56,8.73,2,4,0,Villanova,Georgetown,2021
11,Big Sky Conference,11,129,125,0.508,-5.63,-3.91,0,1,0,Southern Utah,Eastern Washington,2021
12,Mid-American Conference,12,141,138,0.505,-3.22,-1.97,0,1,0,Toledo,Ohio,2021
13,Atlantic Coast Conference,15,201,164,0.551,10.17,8.22,3,7,0,Virginia,Georgia Tech,2021
14,Missouri Valley Conference,10,144,124,0.537,1.22,0.86,1,2,0,Loyola (IL),Loyola (IL),2021
15,Northeast Conference,10,96,109,0.468,-8.72,-7.37,0,1,0,Wagner,Mount St. Mary's,2021
