Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
30,Big Sky Conference,11,161,177,0.476,-4.59,-2.4,0,0,0,Montana State,,2020
31,Northeast Conference,11,140,188,0.427,-13.66,-10.04,0,0,0,Robert Morris,,2020
32,Metro Atlantic Athletic Conference,11,151,180,0.456,-10.79,-8.39,0,0,0,"Marist, Rider",,2020
1,Big 12 Conference,10,155,118,0.568,17.8,14.28,2,5,0,Baylor,Baylor,2021
2,Southeastern Conference,14,207,135,0.605,17.32,12.23,6,7,1,Texas A&M,South Carolina,2021
3,American Athletic Conference,11,112,114,0.496,4.44,6.43,1,2,0,South Florida,South Florida,2021
4,West Coast Conference,10,128,119,0.518,4.41,4.31,1,2,0,Gonzaga,Gonzaga,2021
5,Pac-12 Conference,12,156,124,0.557,20.97,19.4,4,6,2,Stanford,Stanford,2021
6,Atlantic Coast Conference,15,178,135,0.569,15.15,12.5,2,8,0,Louisville,NC State,2021
7,Missouri Valley Conference,10,134,125,0.517,4.0,4.55,1,2,0,Missouri State,Bradley,2021
8,Western Athletic Conference,9,93,87,0.517,-13.61,-8.15,0,1,0,California Baptist,California Baptist,2021
9,Big Ten Conference,14,188,149,0.558,19.33,15.88,5,7,0,Maryland,Maryland,2021
10,Horizon League,12,122,132,0.48,-1.25,0.43,0,1,0,"Milwaukee, Wright State",Wright State,2021
11,Big West Conference,10,95,102,0.482,-3.13,-1.64,0,1,0,UC Davis,UC Davis,2021
12,Ohio Valley Conference,12,149,151,0.497,-4.34,-3.19,0,1,0,Tennessee-Martin,Belmont,2021
13,Mountain West Conference,11,124,116,0.517,1.64,1.28,0,1,0,"Colorado State, New Mexico",Wyoming,2021
14,Mid-American Conference,12,145,139,0.511,1.53,1.9,0,1,0,Bowling Green,Central Michigan,2021
15,Conference USA,14,167,154,0.52,-1.68,-1.64,0,1,0,"Middle Tennessee, Rice",Middle Tennessee,2021
16,Atlantic 10 Conference,14,145,151,0.49,-2.05,-1.78,0,1,0,Dayton,Virginia Commonwealth,2021
17,Summit League,9,95,110,0.463,-0.47,2.2,1,2,0,South Dakota State,South Dakota,2021
18,Southern Conference,8,89,103,0.464,-11.31,-7.96,0,1,0,Samford,Mercer,2021
19,Patriot League,10,65,69,0.485,-8.37,-7.71,0,1,0,"American, Boston University, Bucknell",Lehigh,2021
20,Southwest Athletic Conference,10,88,108,0.449,-15.29,-11.99,0,1,0,Jackson State,Jackson State,2021
21,Big East Conference,11,127,116,0.523,7.8,7.9,1,2,1,Connecticut,Connecticut,2021
22,Sun Belt Conference,12,144,139,0.509,-10.01,-8.38,0,1,0,"Louisiana, Troy",Troy,2021
23,Southland Conference,13,134,157,0.46,-15.86,-11.02,0,1,0,Stephen F. Austin,Stephen F. Austin,2021
24,Big South Conference,11,117,135,0.464,-20.6,-17.76,0,1,0,"High Point, Longwood",High Point,2021
25,Colonial Athletic Association,10,106,96,0.525,-5.04,-4.12,0,1,0,Delaware,Drexel,2021
26,Big Sky Conference,11,131,136,0.491,-6.08,-4.86,0,1,0,Idaho State,Idaho State,2021
27,America East Conference,10,74,86,0.463,-14.61,-12.32,0,1,0,Maine,Stony Brook,2021
28,Atlantic Sun Conference,9,104,111,0.484,-10.4,-6.55,1,1,0,Florida Gulf Coast,Florida Gulf Coast,2021
29,Northeast Conference,10,95,99,0.49,-17.32,-15.54,0,1,0,Mount St. Mary's,Mount St. Mary's,2021
30,Mid-Eastern Athletic Conference,8,56,66,0.459,-19.36,-13.67,0,1,0,"Howard, North Carolina A&T",North Carolina A&T,2021
31,Metro Atlantic Athletic Conference,11,90,105,0.462,-16.34,-12.52,0,1,0,Marist,Marist,2021
1,Big 12 Conference,10,192,129,0.598,18.52,14.14,4,6,0,Baylor,Texas,2022
2,West Coast Conference,10,166,142,0.539,5.72,4.79,1,2,0,Brigham Young,Gonzaga,2022
3,American Athletic Conference,11,185,143,0.564,7.09,4.81,1,2,0,UCF,UCF,2022
4,Pac-12 Conference,12,212,142,0.599,18.52,13.78,2,6,1,Stanford,Stanford,2022
5,Atlantic Coast Conference,15,283,195,0.592,17.44,12.27,5,8,1,NC State,NC State,2022
6,Southeastern Conference,14,281,166,0.629,18.7,12.23,4,8,1,South Carolina,Kentucky,2022
7,Mountain West Conference,11,179,168,0.516,-0.03,0.59,0,1,0,Nevada-Las Vegas,Nevada-Las Vegas,2022
8,Atlantic 10 Conference,14,226,190,0.543,3.16,1.65,0,2,0,Dayton,Massachusetts,2022
9,Horizon League,12,164,175,0.484,-5.4,-4.05,0,1,0,"IU Indy, Youngstown State",IU Indy,2022
10,Mid-American Conference,12,191,178,0.518,1.3,1.45,0,1,0,Toledo,Buffalo,2022
11,Conference USA,14,233,197,0.542,-0.22,-0.96,0,1,0,"Charlotte, Louisiana Tech",Charlotte,2022
12,Ohio Valley Conference,10,146,161,0.476,-5.14,-2.98,0,1,0,Belmont,Belmont,2022
